0, 180, 0
0, 507, 0
0, 140, 0
0, 136, 0
0, 140, 0
0, 250, 0
0, 169, 0
0, 137, 0
0, 147, 0
0, 199, 0
0, 147, 0
0, 230, 0
0, 127, 0
0, 174, 0
0, 261, 0
0, 179, 0
0, 190, 0
0, 127, 0
0, 135, 0
0, 124, 0
0, 140, 0
0, 273, 0
0, 125, 0
0, 415, 0
0, 135, 0
0, 147, 0
0, 128, 0
0, 128, 0
0, 126, 0
0, 128, 0
0, 125, 0
0, 132, 0
0, 1200, 0
0, 156, 1
0, 168, 1
0, 137, 0
0, 188, 1
0, 145, 0
0, 166, 0
0, 157, 0
0, 379, 0
0, 171, 0
0, 154, 0
0, 165, 0
0, 165, 0
0, 190, 0
0, 162, 0
0, 141, 0
0, 194, 0
0, 132, 0
0, 199, 0
0, 148, 1
0, 149, 0
0, 202, 0
0, 132, 0
0, 134, 1
0, 138, 0
0, 167, 0
0, 158, 0
0, 392, 0
0, 132, 0
0, 285, 0
0, 286, 0
0, 150, 0
0, 196, 0
0, 150, 0
0, 134, 0
1, 74, 0
0, 184, 0
0, 140, 0
0, 123, 0
0, 125, 0
0, 525, 0
0, 153, 0
1, 459, 0
0, 191, 0
1, 91, 0
0, 276, 0
0, 141, 0
0, 298, 0
0, 129, 0
0, 173, 0
0, 171, 0
0, 134, 0
0, 214, 0
0, 303, 0
0, 135, 0
0, 164, 0
0, 370, 0
0, 298, 0
0, 217, 0
0, 166, 0
0, 141, 0
0, 277, 0
0, 363, 0
0, 167, 0
0, 161, 0
0, 185, 0
0, 154, 0
0, 203, 0
1, 44, 0
0, 195, 0
0, 165, 0
0, 260, 0
0, 192, 0
1, 83, 0
0, 1152, 0
0, 201, 1
0, 201, 1
0, 147, 0
0, 149, 0
0, 214, 0
0, 520, 0
0, 227, 0
0, 228, 0
0, 399, 0
0, 508, 0
0, 781, 0
0, 205, 0
0, 147, 0
0, 131, 0
0, 139, 0
0, 143, 0
0, 209, 0
0, 143, 0
0, 132, 0
0, 183, 0
0, 193, 1
0, 230, 0
0, 225, 0
1, 243, 0
0, 780, 0
0, 198, 1
0, 175, 0
0, 193, 0
0, 187, 0
0, 575, 0
0, 148, 0
0, 223, 0
0, 188, 0
0, 464, 0
0, 159, 0
1, 238, 0
0, 196, 0
0, 457, 0
0, 125, 0
0, 175, 0
0, 168, 0
1, 2143, 0
1, 163, 0
0, 268, 0
1, 720, 0
0, 181, 0
0, 459, 0
0, 401, 0
0, 710, 0
0, 497, 0
0, 132, 0
0, 245, 0
1, 1, 0
0, 191, 0
0, 380, 0
0, 1261, 1
1, 75, 0
0, 1335, 0
0, 1782, 0
0, 1090, 0
0, 161, 0
0, 620, 0
0, 693, 0
0, 2157, 0
0, 3017, 0
0, 588, 0
0, 1733, 0
0, 1220, 0
1, 1118, 1
0, 1925, 0
0, 262, 0
0, 3606, 0
0, 3793, 0
0, 3930, 1
1, 218, 0
1, 537, 0
1, 793, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 1041, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 914, 0
1, 2149, 0
1, 3350, 1
0, 1299, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 3611, 0
1, 80, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 555, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 1, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 1862, 0
1, 3906, 0
1, 813, 0
1, 345, 1
1, 667, 0
0, 261, 0
1, 825, 0
1, 210, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 411, 0
1, 472, 0
1, 1254, 0
1, 200, 0
1, 1013, 0
0, 741, 1
1, 402, 0
1, 107, 0
1, 977, 0
1, 663, 0
1, 407, 0
0, 525, 0
1, 547, 0
1, 74, 0
1, 3536, 0
1, 133, 0
1, 435, 0
1, 670, 0
0, 1501, 1
1, 365, 0
0, 1994, 0
1, 171, 0
1, 472, 0
1, 128, 0
1, 305, 0
1, 311, 0
1, 1003, 1
1, 187, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 596, 0
1, 447, 1
1, 460, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 118, 0
1, 89, 0
1, 784, 0
1, 121, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 462, 0
1, 2062, 0
0, 153, 0
1, 372, 0
0, 594, 0
1, 133, 0
1, 98, 0
1, 1486, 1
1, 3512, 0
1, 81, 1
1, 125, 1
1, 156, 0
1, 776, 0
1, 713, 0
1, 96, 0
1, 339, 0
0, 706, 0
1, 130, 0
1, 755, 0
1, 228, 0
0, 262, 0
1, 325, 0
1, 95, 0
1, 213, 0
1, 248, 0
1, 65, 0
1, 341, 0
1, 336, 0
1, 91, 0
1, 151, 1
1, 87, 0
0, 144, 0
1, 356, 1
1, 2239, 0
1, 321, 0
1, 302, 0
1, 545, 0
1, 166, 0
1, 103, 0
1, 343, 0
1, 353, 1
1, 243, 0
1, 507, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 403, 0
1, 592, 0
1, 111, 0
1, 556, 0
1, 299, 1
1, 179, 0
1, 383, 0
1, 92, 0
1, 254, 0
1, 2142, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 283, 0
1, 200, 0
1, 296, 0
1, 99, 0
1, 366, 0
1, 369, 0
1, 107, 1
1, 261, 0
1, 438, 0
1, 57, 0
1, 3388, 0
1, 213, 0
1, 63, 0
1, 271, 0
1, 230, 0
1, 247, 0
1, 345, 0
1, 114, 0
1, 144, 0
1, 367, 0
1, 482, 0
0, 2104, 1
1, 275, 0
1, 142, 0
1, 141, 0
1, 852, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 130, 0
1, 221, 0
1, 49, 0
1, 427, 0
1, 122, 0
1, 496, 0
1, 326, 0
1, 104, 0
1, 388, 0
1, 302, 0
1, 236, 1
1, 445, 0
1, 90, 0
1, 288, 0
1, 90, 0
1, 648, 0
1, 1, 0
1, 281, 1
1, 177, 0
1, 325, 0
1, 104, 0
1, 150, 0
1, 305, 0
1, 328, 0
1, 295, 0
1, 131, 0
1, 106, 0
1, 277, 0
1, 1458, 0
1, 356, 0
1, 167, 0
1, 72, 0
1, 296, 0
1, 543, 0
1, 85, 0
0, 218, 0
1, 142, 0
1, 69, 0
1, 237, 0
1, 297, 0
1, 84, 0
1, 210, 0
1, 128, 0
1, 639, 0
0, 220, 0
1, 203, 0
1, 368, 0
0, 237, 0
0, 199, 0
1, 143, 0
1, 194, 0
0, 415, 0
0, 412, 0
1, 349, 0
1, 138, 0
0, 395, 0
1, 459, 0
1, 84, 0
1, 112, 0
0, 604, 1
0, 2446, 1
0, 2450, 1
1, 468, 0
1, 342, 0
0, 224, 0
1, 3072, 0
1, 182, 0
1, 144, 0
1, 128, 0
1, 124, 0
1, 391, 0
1, 190, 0
1, 713, 0
0, 201, 0
0, 2516, 1
1, 114, 0
1, 74, 0
1, 70, 0
1, 186, 0
1, 269, 0
1, 74, 0
1, 477, 0
1, 348, 1
1, 402, 1
1, 676, 0
1, 332, 0
1, 205, 1
1, 222, 0
1, 197, 1
1, 516, 0
0, 1239, 0
0, 422, 0
1, 309, 0
1, 101, 0
1, 203, 0
0, 236, 0
1, 79, 0
1, 464, 0
1, 209, 0
1, 93, 0
1, 190, 0
1, 496, 1
1, 138, 0
1, 1350, 0
1, 727, 0
1, 404, 0
1, 62, 0
1, 100, 0
1, 111, 0
1, 140, 0
0, 2612, 0
0, 1574, 1
1, 272, 1
1, 114, 0
0, 136, 0
1, 321, 0
1, 723, 0
1, 147, 0
1, 868, 0
1, 388, 0
1, 361, 0
1, 207, 0
1, 253, 0
0, 191, 0
1, 87, 0
1, 97, 0
1, 1310, 0
0, 786, 0
1, 99, 0
1, 241, 0
1, 1385, 0
1, 76, 0
1, 102, 0
1, 227, 1
1, 105, 0
1, 391, 0
1, 186, 0
1, 197, 0
0, 184, 0
1, 107, 0
1, 134, 0
1, 1768, 0
1, 377, 0
1, 86, 1
1, 112, 0
0, 1150, 1
0, 274, 0
1, 266, 0
1, 450, 0
1, 539, 0
1, 336, 0
1, 849, 0
1, 443, 0
1, 173, 0
1, 124, 0
1, 223, 1
1, 352, 0
1, 88, 0
0, 188, 0
1, 294, 0
1, 342, 0
1, 403, 1
1, 139, 0
1, 71, 0
1, 664, 0
1, 173, 1
1, 81, 0
1, 130, 0
1, 360, 1
1, 420, 0
1, 451, 0
0, 240, 0
1, 401, 0
0, 653, 1
1, 52, 0
1, 166, 0
1, 73, 0
1, 199, 0
0, 1448, 1
1, 225, 0
1, 477, 0
1, 334, 0
1, 975, 0
1, 959, 0
1, 339, 0
1, 364, 0
1, 86, 0
1, 505, 1
1, 174, 0
1, 368, 0
1, 518, 0
0, 165, 0
1, 109, 0
1, 211, 1
1, 1, 1
1, 219, 1
1, 137, 0
1, 364, 0
1, 126, 1
1, 386, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 235, 0
1, 107, 1
1, 205, 0
1, 114, 0
0, 1727, 1
1, 226, 0
1, 420, 0
1, 54, 0
1, 538, 0
1, 133, 0
1, 478, 0
1, 493, 0
1, 360, 0
1, 428, 0
1, 90, 0
1, 79, 1
0, 174, 0
1, 153, 0
1, 452, 0
0, 430, 0
1, 126, 0
1, 454, 0
1, 744, 0
1, 637, 0
1, 392, 0
1, 675, 0
0, 1610, 1
1, 198, 0
1, 320, 0
0, 2255, 1
1, 75, 0
1, 341, 0
1, 415, 0
1, 165, 0
0, 91, 0
1, 249, 0
1, 264, 0
1, 182, 0
1, 349, 0
1, 381, 0
1, 73, 0
1, 45, 0
1, 128, 0
0, 380, 0
1, 152, 0
1, 121, 0
1, 179, 0
1, 120, 0
1, 235, 0
0, 609, 0
1, 369, 0
1, 259, 0
1, 116, 0
1, 1255, 0
1, 174, 0
0, 181, 0
1, 354, 1
1, 752, 0
1, 2059, 1
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 132, 0
1, 103, 0
1, 272, 0
0, 580, 0
1, 302, 1
1, 125, 0
1, 297, 0
1, 96, 0
1, 103, 0
1, 355, 0
0, 675, 1
1, 96, 0
1, 134, 0
0, 168, 0
1, 360, 0
1, 223, 0
1, 257, 0
1, 125, 0
1, 428, 1
1, 108, 0
1, 245, 0
0, 1009, 0
1, 427, 0
1, 153, 0
0, 1924, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 635, 0
0, 141, 0
1, 110, 0
1, 261, 0
1, 436, 0
1, 300, 0
1, 296, 0
1, 378, 1
1, 316, 0
0, 725, 1
1, 269, 0
1, 169, 1
1, 354, 0
1, 274, 0
1, 424, 0
1, 77, 0
1, 208, 0
1, 398, 0
0, 269, 0
1, 341, 0
1, 161, 0
1, 448, 0
1, 88, 0
1, 400, 0
1, 248, 0
1, 389, 1
0, 173, 0
1, 132, 1
1, 188, 0
1, 126, 0
1, 187, 0
0, 231, 0
1, 49, 0
1, 129, 0
0, 412, 0
1, 219, 0
1, 87, 0
1, 300, 0
1, 347, 1
1, 101, 0
1, 468, 0
1, 284, 0
1, 420, 0
1, 290, 0
1, 1097, 0
0, 148, 0
