36,36
25,25
33,33
25,25
35,35
21,21
32,32
25,25
14,14
16,16
31,31
57,57
32,32
35,35
32,32
25,25
13,13
14,14
34,34
33,33
34,34
33,33
30,30
23,23
14,14
38,38
23,23
29,29
30,30
2,2
33,33
14,14
34,34
37,37
34,34
22,22
35,35
39,39
35,35
16,16
34,34
34,34
39,39
35,35
47,47
8,8
34,34
28,28
39,39
34,34
29,29
34,34
35,35
18,18
34,34
33,33
35,35
35,35
33,33
35,35
36,36
8,8
31,31
16,16
16,16
9,9
18,18
25,25
23,23
33,33
35,35
36,36
37,37
35,35
34,34
32,32
33,33
29,29
33,33
33,33
30,30
7,7
10,10
20,20
30,30
37,37
34,34
31,31
14,14
32,32
34,34
34,34
26,26
34,34
34,34
33,33
1,1
30,30
33,33
32,32
19,19
24,24
41,41
18,18
20,20
29,29
17,17
18,18
32,32
35,35
20,20
21,21
27,27
37,37
39,39
25,25
25,25
35,35
37,37
20,20
26,26
23,23
29,29
19,19
19,19
22,22
33,33
37,37
28,28
18,18
14,14
18,18
34,34
34,34
34,34
17,17
33,33
37,37
33,33
29,29
37,37
18,18
38,38
48,48
35,35
22,22
28,28
27,27
21,21
24,24
32,32
30,30
29,29
25,25
28,28
26,26
17,17
9,9
23,23
16,16
5,5
32,32
15,15
29,29
11,11
29,29
9,9
24,24
9,9
21,21
16,16
44,44
32,32
7,7
29,29
21,21
8,8
30,30
42,42
42,42
16,16
22,22
9,9
25,25
38,38
25,25
23,23
36,36
33,33
30,30
2,2
45,45
37,37
16,16
34,34
29,29
10,10
11,11
39,39
22,22
27,27
11,11
15,15
21,21
13,13
31,31
14,14
27,27
31,31
4,4
16,16
36,36
33,33
26,26
35,35
21,21
31,31
29,29
21,21
26,26
32,32
31,31
30,30
26,26
23,23
38,38
15,15
35,35
27,27
33,33
67,67
36,36
25,25
28,28
38,38
30,30
21,21
36,36
25,25
33,33
22,22
39,39
26,26
5,5
21,21
32,32
32,32
31,31
53,53
23,23
40,40
19,19
16,16
29,29
32,32
25,25
24,24
31,31
23,23
29,29
6,6
14,14
55,55
4,4
18,18
24,24
11,11
26,26
17,17
34,34
32,32
19,19
20,20
8,8
10,10
16,16
44,44
5,5
19,19
33,33
18,18
24,24
15,15
13,13
17,17
16,16
10,10
10,10
24,24
27,27
15,15
34,34
9,9
29,29
5,5
20,20
28,28
15,15
15,15
33,33
52,52
20,20
30,30
1,1
28,28
19,19
16,16
31,31
20,20
38,38
47,47
25,25
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
41,41
16,16
48,48
47,47
47,47
47,47
47,47
47,47
47,47
18,18
7,7
34,34
29,29
16,16
25,25
31,31
16,16
52,52
9,9
32,32
27,27
1,1
26,26
19,19
2,2
25,25
22,22
17,17
15,15
37,37
39,39
32,32
16,16
41,41
11,11
16,16
34,34
27,27
10,10
22,22
36,36
7,7
19,19
31,31
27,27
29,29
15,15
52,52
38,38
48,48
12,12
50,50
44,44
22,22
29,29
1,1
33,33
50,50
35,35
21,21
29,29
32,32
18,18
1,1
23,23
27,27
38,38
22,22
6,6
25,25
8,8
31,31
31,31
21,21
16,16
24,24
44,44
9,9
27,27
17,17
48,48
35,35
35,35
35,35
35,35
35,35
35,35
35,35
35,35
35,35
35,35
35,35
35,35
22,22
36,36
37,37
22,22
17,17
25,25
31,31
11,11
28,28
20,20
13,13
25,25
24,24
34,34
36,36
10,10
27,27
16,16
19,19
25,25
11,11
5,5
34,34
8,8
22,22
36,36
10,10
24,24
38,38
9,9
51,51
26,26
20,20
33,33
34,34
53,53
9,9
16,16
33,33
48,48
8,8
34,34
26,26
37,37
42,42
53,53
26,26
45,45
30,30
22,22
53,53
9,9
31,31
41,41
10,10
23,23
29,29
36,36
5,5
27,27
32,32
16,16
22,22
27,27
1,1
31,31
43,43
34,34
30,30
18,18
23,23
53,53
31,31
10,10
9,9
19,19
42,42
19,19
34,34
27,27
43,43
28,28
48,48
30,30
45,45
43,43
16,16
14,14
23,23
32,32
31,31
32,32
32,32
34,34
33,33
10,10
38,38
25,25
21,21
24,24
18,18
39,39
40,40
13,13
26,26
29,29
46,46
16,16
29,29
20,20
14,14
53,53
23,23
46,46
31,31
9,9
33,33
36,36
9,9
34,34
38,38
12,12
32,32
26,26
9,9
14,14
34,34
36,36
32,32
33,33
4,4
19,19
4,4
31,31
17,17
10,10
35,35
30,30
2,2
38,38
50,50
23,23
23,23
30,30
39,39
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
53,53
50,50
26,26
40,40
17,17
36,36
13,13
30,30
44,44
35,35
14,14
35,35
54,54
37,37
36,36
39,39
58,58
35,35
39,39
39,39
36,36
34,34
37,37
29,29
32,32
37,37
9,9
3,3
44,44
36,36
19,19
31,31
32,32
32,32
24,24
39,39
31,31
8,8
31,31
29,29
34,34
40,40
31,31
38,38
36,36
22,22
23,23
25,25
34,34
37,37
37,37
37,37
37,37
40,40
27,27
31,31
20,20
35,35
31,31
17,17
5,5
9,9
20,20
39,39
25,25
31,31
20,20
26,26
7,7
35,35
15,15
31,31
34,34
27,27
16,16
33,33
16,16
35,35
21,21
34,34
12,12
22,22
30,30
45,45
12,12
19,19
21,21
42,42
32,32
36,36
34,34
26,26
24,24
19,19
14,14
26,26
36,36
33,33
11,11
13,13
15,15
12,12
37,37
19,19
9,9
19,19
30,30
44,44
17,17
6,6
30,30
33,33
30,30
20,20
18,18
45,45
13,13
10,10
17,17
36,36
17,17
11,11
17,17
23,23
14,14
35,35
23,23
11,11
17,17
35,35
28,28
33,33
42,42
1,1
18,18
25,25
29,29
10,10
3,3
42,42
6,6
30,30
35,35
32,32
21,21
48,48
24,24
25,25
23,23
23,23
28,28
28,28
28,28
28,28
32,32
8,8
15,15
9,9
34,34
26,26
30,30
30,30
62,62
61,61
61,61
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
15,15
11,11
