Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,0.950,1105.314,7.811,5164,0.227
GoalBrain_4_2,0.900,1114.655,7.550,5134,0.231
GoalBrain_4_2,0.986,1124.294,7.730,5127,0.233
GoalBrain_4_2,0.990,1133.821,7.689,5139,0.237
GoalBrain_4_2,1.009,1143.532,7.760,5139,0.240
GoalBrain_4_2,1.006,1152.987,7.551,5154,0.241
GoalBrain_4_2,0.941,1162.453,7.668,5137,0.243
GoalBrain_4_2,0.958,1172.113,7.761,5149,0.246
GoalBrain_4_2,0.996,1181.617,7.622,5139,0.250
GoalBrain_4_2,1.008,1191.059,7.545,5149,0.251
GoalBrain_4_2,1.005,1200.707,7.730,5136,0.253
GoalBrain_4_2,1.018,1210.497,7.853,5178,0.255
GoalBrain_4_2,0.983,1220.186,7.595,5142,0.258
GoalBrain_4_2,0.975,1229.764,7.685,5182,0.260
GoalBrain_4_2,1.009,1239.299,7.622,5133,0.263
GoalBrain_4_2,0.947,1248.838,7.674,5122,0.266
GoalBrain_4_2,0.941,1258.373,7.684,5171,0.270
GoalBrain_4_2,0.999,1268.277,7.979,5148,0.273
GoalBrain_4_2,0.932,1278.040,7.919,5158,0.275
GoalBrain_4_2,1.007,1287.865,7.925,5184,0.279
GoalBrain_4_2,1.014,1297.542,7.788,5154,0.276
GoalBrain_4_2,1.032,1307.276,7.806,5172,0.276
GoalBrain_4_2,0.976,1317.065,7.891,5145,0.278
GoalBrain_4_2,0.989,1326.725,7.762,5171,0.279
GoalBrain_4_2,1.003,1336.454,7.813,5206,0.281
GoalBrain_4_2,0.937,1346.196,7.879,5160,0.282
GoalBrain_4_2,0.937,1355.640,7.622,5175,0.281
GoalBrain_4_2,1.081,1365.567,7.961,5173,0.281
GoalBrain_4_2,1.041,1375.260,7.730,5144,0.281
GoalBrain_4_2,0.928,1384.960,7.828,5163,0.282
GoalBrain_4_2,0.980,1394.625,7.762,5177,0.284
GoalBrain_4_2,1.018,1404.352,7.811,5124,0.285
GoalBrain_4_2,1.013,1413.988,7.752,5171,0.286
GoalBrain_4_2,0.918,1423.553,7.735,5130,0.286
GoalBrain_4_2,0.985,1433.416,7.941,5172,0.286
GoalBrain_4_2,1.016,1443.006,7.697,5123,0.284
GoalBrain_4_2,1.005,1452.557,7.665,5135,0.283
GoalBrain_4_2,0.930,1462.278,7.880,5182,0.285
GoalBrain_4_2,0.886,1471.705,7.648,5125,0.286
GoalBrain_4_2,0.978,1481.320,7.746,5150,0.288
GoalBrain_4_2,0.999,1491.084,7.821,5147,0.290
GoalBrain_4_2,1.001,1500.610,7.614,5163,0.290
GoalBrain_4_2,0.959,1510.434,7.963,5169,0.292
GoalBrain_4_2,1.071,1520.229,7.818,5165,0.294
GoalBrain_4_2,0.995,1529.845,7.717,5125,0.296
GoalBrain_4_2,1.010,1539.510,7.729,5123,0.297
GoalBrain_4_2,0.966,1549.190,7.790,5184,0.297
GoalBrain_4_2,0.940,1558.882,7.844,5159,0.297
GoalBrain_4_2,1.015,1568.616,7.803,5136,0.299
GoalBrain_4_2,1.016,1578.221,7.682,5194,0.300
GoalBrain_4_2,0.921,1588.276,7.984,5161,0.302
GoalBrain_4_2,0.963,1597.939,7.783,5250,0.303
GoalBrain_4_2,1.060,1607.755,7.863,5159,0.304
GoalBrain_4_2,1.010,1617.479,7.798,5161,0.306
GoalBrain_4_2,1.010,1627.152,7.740,5143,0.307
GoalBrain_4_2,0.945,1636.823,7.830,5155,0.309
GoalBrain_4_2,0.939,1646.389,7.722,5125,0.310
GoalBrain_4_2,1.018,1656.114,7.767,5180,0.311
GoalBrain_4_2,1.002,1665.674,7.683,5186,0.311
GoalBrain_4_2,1.174,1675.795,8.039,5126,0.311
GoalBrain_4_2,1.019,1685.166,7.464,5128,0.311
GoalBrain_4_2,0.923,1694.855,7.828,5151,0.311
GoalBrain_4_2,0.903,1704.352,7.709,5150,0.313
GoalBrain_4_2,0.983,1713.982,7.759,5146,0.313
GoalBrain_4_2,1.014,1723.608,7.702,5167,0.314
GoalBrain_4_2,1.012,1733.342,7.796,5145,0.313
GoalBrain_4_2,0.996,1743.159,7.907,5178,0.315
GoalBrain_4_2,0.927,1752.734,7.761,5178,0.317
GoalBrain_4_2,0.933,1762.171,7.586,5159,0.318
GoalBrain_4_2,0.906,1771.769,7.785,5143,0.319
GoalBrain_4_2,0.975,1781.457,7.804,5172,0.319
GoalBrain_4_2,0.998,1791.140,7.761,5174,0.320
GoalBrain_4_2,1.009,1800.901,7.815,5167,0.320
GoalBrain_4_2,1.015,1810.384,7.581,5164,0.320
GoalBrain_4_2,0.997,1820.135,7.855,5165,0.321
GoalBrain_4_2,1.006,1829.708,7.677,5132,0.320
GoalBrain_4_2,0.901,1839.326,7.805,5172,0.321
GoalBrain_4_2,0.945,1848.947,7.741,5165,0.322
GoalBrain_4_2,1.004,1858.633,7.788,5122,0.322
GoalBrain_4_2,1.007,1868.229,7.700,5144,0.323
GoalBrain_4_2,1.385,1879.013,8.356,5136,0.325
GoalBrain_4_2,1.094,1889.882,8.690,5163,0.327
GoalBrain_4_2,1.150,1900.602,8.525,5142,0.328
GoalBrain_4_2,1.144,1911.450,8.621,5152,0.329
GoalBrain_4_2,1.049,1922.119,8.582,5141,0.327
GoalBrain_4_2,1.185,1932.817,8.475,5153,0.327
GoalBrain_4_2,1.165,1943.895,8.841,5160,0.330
GoalBrain_4_2,1.237,1954.522,8.373,5122,0.331
GoalBrain_4_2,1.080,1965.337,8.472,5175,0.331
GoalBrain_4_2,1.148,1976.183,8.612,5177,0.334
GoalBrain_4_2,1.162,1986.968,8.569,5171,0.334
GoalBrain_4_2,1.067,1997.685,8.576,5162,0.335
GoalBrain_4_2,1.157,2008.362,8.486,5180,0.336
GoalBrain_4_2,1.164,2019.212,8.610,5144,0.336
GoalBrain_4_2,1.082,2030.035,8.666,5183,0.336
GoalBrain_4_2,1.154,2040.634,8.408,5122,0.338
GoalBrain_4_2,1.135,2051.523,8.655,5176,0.339
GoalBrain_4_2,1.075,2062.224,8.567,5139,0.339
GoalBrain_4_2,1.171,2072.887,8.454,5173,0.339
GoalBrain_4_2,1.201,2083.895,8.744,5185,0.339
GoalBrain_4_2,1.083,2094.536,8.515,5164,0.339
GoalBrain_4_2,1.182,2105.380,8.617,5124,0.338
GoalBrain_4_2,1.125,2116.186,8.640,5142,0.339
GoalBrain_4_2,1.123,2126.907,8.548,5150,0.341
GoalBrain_4_2,1.151,2137.634,8.547,5178,0.342
GoalBrain_4_2,1.101,2148.409,8.599,5140,0.344
GoalBrain_4_2,1.125,2159.281,8.678,5175,0.344
GoalBrain_4_2,1.152,2170.057,8.570,5144,0.344
GoalBrain_4_2,1.134,2180.848,8.626,5162,0.346
GoalBrain_4_2,1.156,2191.536,8.493,5172,0.346
GoalBrain_4_2,1.291,2202.488,8.589,5124,0.347
GoalBrain_4_2,1.101,2213.261,8.588,5142,0.346
GoalBrain_4_2,1.179,2223.914,8.479,5155,0.345
GoalBrain_4_2,1.146,2234.740,8.613,5141,0.346
GoalBrain_4_2,1.100,2245.409,8.532,5138,0.346
GoalBrain_4_2,1.186,2256.270,8.608,5168,0.346
GoalBrain_4_2,1.217,2267.273,8.717,5141,0.347
GoalBrain_4_2,1.067,2278.044,8.664,5178,0.348
GoalBrain_4_2,1.151,2288.557,8.344,5144,0.347
GoalBrain_4_2,1.099,2299.347,8.636,5150,0.348
GoalBrain_4_2,1.153,2310.024,8.469,5128,0.350
GoalBrain_4_2,1.181,2320.870,8.611,5163,0.350
GoalBrain_4_2,1.071,2331.735,8.762,5172,0.350
GoalBrain_4_2,1.190,2342.661,8.692,5183,0.349
GoalBrain_4_2,1.144,2353.229,8.399,5136,0.350
GoalBrain_4_2,1.098,2364.034,8.656,5176,0.351
GoalBrain_4_2,1.147,2374.755,8.517,5138,0.352
GoalBrain_4_2,1.183,2385.809,8.606,5133,0.354
GoalBrain_4_2,1.118,2396.440,8.461,5124,0.354
GoalBrain_4_2,1.157,2407.267,8.624,5188,0.356
GoalBrain_4_2,1.063,2417.956,8.607,5135,0.356
GoalBrain_4_2,1.155,2428.709,8.533,5159,0.356
GoalBrain_4_2,1.123,2439.390,8.505,5134,0.357
GoalBrain_4_2,1.278,2450.271,8.565,5121,0.357
GoalBrain_4_2,1.151,2461.109,8.613,5166,0.358
GoalBrain_4_2,1.110,2471.789,8.512,5168,0.358
GoalBrain_4_2,1.165,2482.675,8.666,5170,0.359
GoalBrain_4_2,1.169,2493.745,8.803,5158,0.362
GoalBrain_4_2,1.061,2504.393,8.563,5127,0.361
GoalBrain_4_2,1.214,2515.382,8.716,5150,0.362
GoalBrain_4_2,1.151,2526.156,8.551,5147,0.363
GoalBrain_4_2,1.146,2536.862,8.507,5138,0.363
GoalBrain_4_2,1.160,2547.599,8.519,5148,0.363
GoalBrain_4_2,1.083,2558.410,8.676,5128,0.363
GoalBrain_4_2,1.170,2569.212,8.591,5181,0.363
GoalBrain_4_2,1.150,2579.963,8.543,5149,0.364
GoalBrain_4_2,1.102,2590.842,8.703,5173,0.364
GoalBrain_4_2,1.192,2601.561,8.497,5167,0.364
GoalBrain_4_2,1.127,2612.424,8.676,5159,0.366
GoalBrain_4_2,1.152,2623.232,8.609,5181,0.367
GoalBrain_4_2,1.180,2634.089,8.603,5171,0.366
GoalBrain_4_2,1.074,2644.903,8.677,5133,0.366
GoalBrain_4_2,1.181,2655.653,8.538,5159,0.364
GoalBrain_4_2,1.180,2666.626,8.726,5178,0.364
GoalBrain_4_2,1.104,2677.307,8.565,5126,0.364
GoalBrain_4_2,1.182,2688.273,8.729,5179,0.365
GoalBrain_4_2,1.144,2699.210,8.729,5147,0.363
GoalBrain_4_2,1.166,2709.920,8.490,5139,0.364
GoalBrain_4_2,1.148,2720.604,8.520,5128,0.364
