Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,4.648,40.830,32.024,5161,-1.018
GoalBrain_4_2,3.854,83.727,36.610,5136,-1.002
GoalBrain_4_2,3.920,126.933,36.848,5168,-0.990
GoalBrain_4_2,3.802,168.976,35.835,5172,-0.964
GoalBrain_4_2,3.772,211.829,36.718,5202,-0.918
GoalBrain_4_2,3.875,253.814,35.720,5214,-0.877
GoalBrain_4_2,3.865,296.242,36.195,5175,-0.821
GoalBrain_4_2,3.986,337.635,35.041,5141,-0.740
GoalBrain_4_2,3.996,379.496,35.558,5149,-0.695
GoalBrain_4_2,4.077,422.143,36.226,5142,-0.598
GoalBrain_4_2,3.867,464.427,35.973,5154,-0.518
GoalBrain_4_2,3.807,505.351,34.809,5141,-0.459
GoalBrain_4_2,3.856,547.709,36.090,5184,-0.439
GoalBrain_4_2,3.836,588.458,34.970,5172,-0.427
GoalBrain_4_2,3.741,629.074,34.766,5181,-0.417
GoalBrain_4_2,3.734,670.251,35.125,5133,-0.403
GoalBrain_4_2,4.014,711.658,35.077,5184,-0.398
GoalBrain_4_2,3.962,756.378,38.824,5193,-0.408
GoalBrain_4_2,3.814,797.450,35.455,5160,-0.408
GoalBrain_4_2,3.868,837.883,34.459,5160,-0.408
GoalBrain_4_2,3.801,877.896,34.427,5160,-0.408
GoalBrain_4_2,3.794,918.037,34.564,5160,-0.408
GoalBrain_4_2,3.996,958.573,34.714,5160,-0.408
GoalBrain_4_2,3.842,1000.215,35.497,5190,-0.435
GoalBrain_4_2,3.806,1041.412,35.338,5208,-0.479
GoalBrain_4_2,3.890,1082.075,34.775,5159,-0.471
GoalBrain_4_2,3.753,1122.833,34.654,5149,-0.456
GoalBrain_4_2,3.828,1163.795,34.969,5236,-0.451
GoalBrain_4_2,3.880,1205.245,35.379,5212,-0.452
GoalBrain_4_2,3.986,1245.695,34.578,5177,-0.476
GoalBrain_4_2,4.097,1288.737,37.052,5160,-0.476
GoalBrain_4_2,3.957,1332.990,38.086,5238,-0.478
GoalBrain_4_2,4.514,1377.188,37.253,5168,-0.429
GoalBrain_4_2,3.474,1420.147,37.117,5198,-0.392
GoalBrain_4_2,3.412,1457.599,32.444,5160,-0.392
GoalBrain_4_2,3.814,1496.382,32.962,5223,-0.400
GoalBrain_4_2,3.476,1536.361,34.200,5204,-0.360
GoalBrain_4_2,3.361,1574.773,32.921,5122,-0.324
GoalBrain_4_2,4.059,1616.758,35.313,5131,-0.304
GoalBrain_4_2,3.982,1659.046,35.975,5133,-0.285
GoalBrain_4_2,3.996,1700.980,35.726,5151,-0.279
GoalBrain_4_2,3.496,1743.521,36.897,5149,-0.254
GoalBrain_4_2,3.481,1784.498,35.204,5136,-0.200
GoalBrain_4_2,3.768,1826.377,35.793,5163,-0.172
GoalBrain_4_2,3.402,1864.018,32.122,5155,-0.142
GoalBrain_4_2,3.662,1904.007,34.107,5152,-0.123
GoalBrain_4_2,3.628,1943.971,34.089,5140,-0.100
GoalBrain_4_2,3.571,1987.157,37.159,5187,-0.078
GoalBrain_4_2,3.506,2028.335,35.341,5192,-0.047
GoalBrain_4_2,3.877,2068.907,34.411,5137,-0.030
GoalBrain_4_2,3.435,2111.109,36.457,5155,-0.005
GoalBrain_4_2,3.549,2150.045,33.215,5193,0.011
GoalBrain_4_2,3.538,2189.380,33.571,5147,0.026
GoalBrain_4_2,3.661,2228.528,33.280,5234,0.035
GoalBrain_4_2,4.214,2267.631,32.710,5122,0.052
GoalBrain_4_2,3.621,2308.348,34.782,5197,0.071
GoalBrain_4_2,3.514,2347.028,32.998,5141,0.090
GoalBrain_4_2,3.531,2385.876,32.879,5130,0.103
GoalBrain_4_2,3.469,2424.795,33.254,5164,0.116
GoalBrain_4_2,3.410,2462.650,32.399,5188,0.122
GoalBrain_4_2,3.838,2502.159,33.415,5182,0.132
GoalBrain_4_2,3.430,2543.927,35.998,5156,0.146
GoalBrain_4_2,3.433,2581.480,32.024,5177,0.156
GoalBrain_4_2,4.042,2620.832,33.084,5133,0.169
GoalBrain_4_2,3.387,2660.315,33.893,5247,0.181
GoalBrain_4_2,3.447,2699.511,33.529,5220,0.189
GoalBrain_4_2,3.502,2737.132,31.955,5130,0.199
GoalBrain_4_2,3.448,2779.117,36.230,5145,0.210
GoalBrain_4_2,3.479,2819.338,34.612,5178,0.217
GoalBrain_4_2,3.365,2859.030,34.099,5222,0.222
GoalBrain_4_2,3.428,2897.926,33.332,5202,0.222
GoalBrain_4_2,3.450,2936.705,33.184,5160,0.222
GoalBrain_4_2,3.429,2974.520,32.464,5209,0.224
GoalBrain_4_2,3.389,3012.877,32.826,5167,0.226
GoalBrain_4_2,3.866,3051.284,32.418,5135,0.228
