Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.110,36.941,29.069,5122,-0.994
GoalBrain_4_2,2.807,70.277,27.172,5132,-0.996
GoalBrain_4_2,2.855,102.390,26.112,5130,-0.972
GoalBrain_4_2,2.764,134.065,25.770,5138,-0.953
GoalBrain_4_2,3.969,167.655,26.489,5167,-0.938
GoalBrain_4_2,3.424,204.132,29.216,5209,-0.852
GoalBrain_4_2,3.302,239.778,28.642,5146,-0.799
GoalBrain_4_2,3.852,278.577,30.901,5155,-0.721
GoalBrain_4_2,3.931,315.196,28.925,5150,-0.619
GoalBrain_4_2,3.346,353.819,30.989,5140,-0.525
GoalBrain_4_2,3.358,389.691,28.768,5160,-0.420
GoalBrain_4_2,3.193,425.340,28.700,5144,-0.337
GoalBrain_4_2,3.678,463.408,30.380,5184,-0.255
GoalBrain_4_2,3.179,499.421,28.983,5121,-0.176
GoalBrain_4_2,3.279,535.407,28.882,5121,-0.095
GoalBrain_4_2,3.247,571.065,28.575,5129,-0.027
GoalBrain_4_2,3.258,606.982,29.001,5197,0.034
GoalBrain_4_2,3.263,641.990,28.250,5122,0.085
GoalBrain_4_2,3.262,678.059,29.124,5160,0.144
GoalBrain_4_2,3.200,714.404,29.200,5123,0.196
GoalBrain_4_2,3.234,749.541,28.282,5156,0.239
GoalBrain_4_2,3.485,785.748,28.927,5127,0.280
GoalBrain_4_2,3.601,823.453,30.153,5152,0.315
GoalBrain_4_2,3.262,860.549,29.956,5209,0.345
GoalBrain_4_2,3.301,896.444,28.949,5150,0.376
GoalBrain_4_2,3.184,932.113,28.849,5129,0.401
GoalBrain_4_2,3.148,967.331,28.467,5122,0.427
GoalBrain_4_2,3.368,1002.880,28.578,5139,0.451
GoalBrain_4_2,3.177,1039.783,29.766,5152,0.474
GoalBrain_4_2,3.228,1075.307,28.725,5139,0.493
GoalBrain_4_2,3.533,1111.578,29.098,5139,0.511
GoalBrain_4_2,4.005,1148.999,29.660,5126,0.528
GoalBrain_4_2,3.265,1186.099,29.966,5143,0.543
GoalBrain_4_2,3.338,1221.584,28.611,5125,0.558
GoalBrain_4_2,3.164,1256.795,28.443,5127,0.571
GoalBrain_4_2,3.232,1292.281,28.678,5133,0.583
GoalBrain_4_2,3.164,1328.293,29.064,5128,0.595
